Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Lil Jon,BOMBï¿½,LEGENDADDY,album,0.843,0.789,-2.801,0.247,0.0028,2.41E-05,0.0322,0.571,125.071,3.040216667,Daddy Yankee x El Alfa x Lil Jon - Bombï¿½ï¿½ï¿½ï¿½ï¿½ï¿½n ,Daddy Yankee,135227988,1114973,20713,FALSE,TRUE,85119241,25,Youtube
Lil Jon,Turn Down for What,Turn Down for What,single,0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014,3.562216667,"DJ Snake, Lil Jon - Turn Down for What",DJSnakeVEVO,1144903863,10125701,400601,TRUE,TRUE,486837929,14,Youtube
Lil Jon,Snap Yo Fingers,Snap Yo Fingers - Single,single,0.835,0.757,-5.029,0.23,0.00647,0,0.29,0.626,82.038,4.573116667,"Lil Jon - Snap Yo Fingers (feat. E-40, Sean Paul of Youngbloodz) (Official Music Video)",Radial by The Orchard,105596446,637212,15449,TRUE,TRUE,151540966,3,Spotify
Lil Jon,Alive (with Offset & 2 Chainz),Alive (with Offset & 2 Chainz),single,0.811,0.726,-6.726,0.323,0.362,1.88E-06,0.121,0.57,150.061,3.931616667,"Lil Jon, Offset, 2 Chainz - Alive (Official Music Video) ft. Offset, 2 Chainz",LilJonVEVO,33429589,432912,5210,TRUE,TRUE,93984506,6,Spotify
Lil Jon,LET'S GET CRAZY! (Mambo Drop),LET'S GET CRAZY! (Mambo Drop),single,0.702,0.906,-4.811,0.032,0.00659,1.07E-05,0.104,0.667,120.021,2.663666667,Don Omar x Lil Jon - LET'S GET CRAZY! (Mambo Drop) [Official Music Video],Don Omar,15782512,176658,8849,FALSE,TRUE,3199106,9,Youtube
Lil Jon,Live The Night,Live The Night,single,0.805,0.968,-3.909,0.227,0.00707,0.00091,0.368,0.211,127.984,2.21875,W&W & Hardwell & Lil Jon - Live The Night (Official Audio),Scorpio Music,2526998,22407,303,FALSE,FALSE,58705100,3,Spotify
Lil Jon,Outta Your Mind,Crunk Rock (Deluxe),album,0.876,0.984,-2.018,0.274,0.233,0,0.0505,0.642,99.976,4.179116667,Lil Jon - Outta Your Mind (Official Music Video) ft. LMFAO,LilJonVEVO,34373643,192603,6218,TRUE,TRUE,49656144,19,Spotify
Lil Jon,"Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) - Dj Buddha Remix","Reggaeton! (18 Latin Hits, The Very Best of Reggaeton, Dembow, Urban)",compilation,0.714,0.817,-7.524,0.188,0.0435,0,0.122,0.637,96.021,4.717333333,"Gasolina (feat. Lil'Jon, Pitbull, Noriega - Dj Buddah Remix)",Daddy Yankee - Topic,1118781,17687,47,TRUE,TRUE,79133174,7,Spotify
Lil Jon,Bend Ova (feat. Tyga),Bend Ova (feat. Tyga),single,0.855,0.968,-3.278,0.157,0.0143,0.0025,0.0988,0.798,103.005,3.76845,Lil Jon - Bend Ova (Official Music Video) ft. Tyga,LilJonVEVO,22665050,159374,3175,TRUE,TRUE,57672736,10,Spotify
Lil Jon,Act A Fool,Act A Fool - Single,single,0.849,0.887,-3.083,0.285,0.00739,0,0.375,0.814,149.956,4.684666667,Lil Jon ft. Three 6 Mafia - Act a Fool (Anbroski Remix),TrapMusicHDTV,148825368,1412004,11749,FALSE,FALSE,11783832,2,Youtube
